scenario,pm_mean,pm_std,pm_n,pm_min,pm_max,pm_cv,ci_halfwidth,ci_precision,ci_lower,ci_upper,unit,pm
10,7.413183858990831,0.11286974830744485,15,7.194810768819225,7.574683383626579,0.01522554282402622,0.0625051832137099,0.008431624576247706,7.350678675777122,7.475689042204541,ldr,occ_mean_ldr
11,7.665226857005182,0.14197412252881253,15,7.398066266927934,7.908480400684337,0.018521842233418528,0.0786226484362931,0.010257054344639594,7.586604208568889,7.743849505441475,ldr,occ_mean_ldr
12,7.594045747690903,0.13102344888331402,15,7.337009887439786,7.803529181918339,0.01725344476929888,0.07255836750371765,0.009554639241642736,7.521487380187185,7.666604115194621,ldr,occ_mean_ldr
13,7.382002367054489,0.11201248201088429,15,7.160300527249081,7.541028000051865,0.01517372610320344,0.062030444962469185,0.008402929432711643,7.319971922092019,7.4440328120169585,ldr,occ_mean_ldr
14,7.330153843543939,0.10743093678505779,15,7.106359841555609,7.467222052303777,0.014656027564779966,0.05949326978456286,0.008116237538037729,7.270660573759376,7.389647113328501,ldr,occ_mean_ldr
15,7.64168880206326,0.137579569009205,15,7.371613764411511,7.86583221902871,0.01800381729390216,0.07618902581371653,0.009970181695065292,7.565499776249543,7.717877827876976,ldr,occ_mean_ldr
16,7.571887960787989,0.12825742010876892,15,7.3095348065589345,7.762286936516631,0.01693863152399596,0.07102659182493791,0.009380301477353917,7.500861368963051,7.642914552612927,ldr,occ_mean_ldr
1,7.0,0.0,15,7.0,7.0,0.0,0.0,0.0,7.0,7.0,ldr,occ_p95_ldr
2,7.0,0.0,15,7.0,7.0,0.0,0.0,0.0,7.0,7.0,ldr,occ_p95_ldr
3,8.0,0.0,15,8.0,8.0,0.0,0.0,0.0,8.0,8.0,ldr,occ_p95_ldr
4,8.0,0.0,15,8.0,8.0,0.0,0.0,0.0,8.0,8.0,ldr,occ_p95_ldr
5,7.0,0.0,15,7.0,7.0,0.0,0.0,0.0,7.0,7.0,ldr,occ_p95_ldr
6,7.0,0.0,15,7.0,7.0,0.0,0.0,0.0,7.0,7.0,ldr,occ_p95_ldr
7,8.0,0.0,15,8.0,8.0,0.0,0.0,0.0,8.0,8.0,ldr,occ_p95_ldr
8,8.0,0.0,15,8.0,8.0,0.0,0.0,0.0,8.0,8.0,ldr,occ_p95_ldr
9,10.0,0.0,15,10.0,10.0,0.0,0.0,0.0,10.0,10.0,ldr,occ_p95_ldr
10,10.0,0.0,15,10.0,10.0,0.0,0.0,0.0,10.0,10.0,ldr,occ_p95_ldr
